ORDERNUMBER,QUANTITYORDERED,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,COUNTRY,DEALSIZE
10285,27,8,5438.07,8/27/2004 0:00,Shipped,USA,Medium
10299,29,11,6683.34,9/30/2004 0:00,Shipped,Finland,Medium
10308,20,1,4570.4,10/15/2004 0:00,Shipped,USA,Medium
10318,37,3,7667.14,11/2/2004 0:00,Shipped,USA,Large
10329,26,3,5868.2,11/15/2004 0:00,Shipped,USA,Medium
10339,39,3,2990.13,11/23/2004 0:00,Shipped,Japan,Small
10362,22,4,3664.1,1/5/2005 0:00,Shipped,USA,Medium
10374,22,1,3834.38,2/2/2005 0:00,Shipped,Australia,Medium
10388,21,7,1822.17,3/3/2005 0:00,Shipped,USA,Small
10403,66,9,11886.6,4/8/2005 0:00,Shipped,UK,Large
10417,56,4,9218.16,5/13/2005 0:00,Disputed,Spain,Large
10105,50,2,7208,2/11/2003 0:00,Shipped,Denmark,Large
10119,46,11,5004.8,4/28/2003 0:00,Shipped,Austria,Medium
10129,33,2,4398.24,6/12/2003 0:00,Shipped,UK,Medium
10143,49,15,5597.76,8/10/2003 0:00,Shipped,USA,Medium
10155,32,13,4526.08,10/6/2003 0:00,Shipped,Finland,Medium
10167,44,9,5924.16,10/23/2003 0:00,Cancelled,Sweden,Medium
10178,24,12,3492.48,11/8/2003 0:00,Shipped,France,Medium
10186,26,9,3854.24,11/14/2003 0:00,Shipped,UK,Medium
10197,45,6,5324.4,11/26/2003 0:00,Shipped,Spain,Medium
10209,39,8,5197.92,1/9/2004 0:00,Shipped,USA,Medium
10222,49,12,5997.6,2/19/2004 0:00,Shipped,USA,Medium
10248,20,3,2910.4,5/7/2004 0:00,Cancelled,USA,Small
10261,27,1,3378.24,6/17/2004 0:00,Shipped,Canada,Medium
10273,30,4,3508.8,7/21/2004 0:00,Shipped,Belgium,Medium
10283,25,6,2992,8/20/2004 0:00,Shipped,Canada,Small
10295,24,1,3427.2,9/10/2004 0:00,Shipped,USA,Medium
10307,22,9,2692.8,10/14/2004 0:00,Shipped,USA,Small
10316,33,17,4128.96,11/1/2004 0:00,Shipped,UK,Medium
10325,47,6,3051.71,11/5/2004 0:00,Shipped,Norway,Medium
10337,25,8,1201.25,11/21/2004 0:00,Shipped,USA,Small
10350,26,5,1962.22,12/2/2004 0:00,Shipped,Spain,Small
10359,48,6,2624.64,12/15/2004 0:00,Shipped,France,Small
10373,39,3,4046.25,1/31/2005 0:00,Shipped,Finland,Medium
10384,34,4,4846.7,2/23/2005 0:00,Shipped,USA,Medium
10395,32,2,3370.56,3/17/2005 0:00,Shipped,France,Medium
10400,64,9,9661.44,4/1/2005 0:00,Shipped,USA,Large
10414,19,3,2764.88,5/6/2005 0:00,On Hold,USA,Small
10103,42,4,5398.26,1/29/2003 0:00,Shipped,Norway,Medium
10114,31,8,4305.28,4/1/2003 0:00,Shipped,France,Medium
10126,22,4,3347.74,5/28/2003 0:00,Shipped,Spain,Medium
10140,26,4,3188.12,7/24/2003 0:00,Shipped,USA,Medium
10150,20,1,3191.2,9/19/2003 0:00,Shipped,Singapore,Medium
10164,21,2,3536.82,10/21/2003 0:00,Resolved,Austria,Medium
10175,33,9,5362.83,11/6/2003 0:00,Shipped,UK,Medium
10183,28,1,3433.36,11/13/2003 0:00,Shipped,USA,Medium
10194,26,4,4263.74,11/25/2003 0:00,Shipped,France,Medium
10207,31,15,4076.19,12/9/2003 0:00,Shipped,USA,Medium
10217,48,4,7020.48,2/4/2004 0:00,Shipped,Singapore,Large
10229,50,9,6426.5,3/11/2004 0:00,Shipped,USA,Medium
10245,28,2,4591.72,5/4/2004 0:00,Shipped,USA,Medium
10259,26,12,4033.38,6/15/2004 0:00,Shipped,Singapore,Medium
10270,32,2,4302.08,7/19/2004 0:00,Shipped,Australia,Medium
10281,44,9,7020.64,8/19/2004 0:00,Shipped,USA,Large
10291,30,4,3855.9,9/8/2004 0:00,Shipped,Sweden,Medium
10305,38,13,6680.78,10/13/2004 0:00,Shipped,USA,Medium
10313,40,7,6678,10/22/2004 0:00,Shipped,Canada,Medium
10322,46,8,2851.54,11/4/2004 0:00,Shipped,USA,Small
10334,26,2,3188.12,11/19/2004 0:00,On Hold,Sweden,Medium
10347,27,2,4428,11/29/2004 0:00,Shipped,Australia,Medium
10357,43,9,5780.92,12/10/2004 0:00,Shipped,USA,Medium
10370,35,4,2297.05,1/20/2005 0:00,Shipped,Australia,Small
10381,37,6,6231.54,2/17/2005 0:00,Shipped,USA,Medium
10391,37,7,1735.3,3/9/2005 0:00,Shipped,Australia,Small
10411,27,2,4427.73,5/1/2005 0:00,Shipped,Canada,Medium
10425,38,12,5894.94,5/31/2005 0:00,In Process,France,Medium
10108,33,6,5265.15,3/3/2003 0:00,Shipped,Philippines,Medium
10122,42,10,7599.9,5/8/2003 0:00,Shipped,France,Large
10135,42,7,8008.56,7/2/2003 0:00,Shipped,USA,Large
10147,48,7,9245.76,9/5/2003 0:00,Shipped,USA,Large
10159,41,2,8296.35,10/10/2003 0:00,Shipped,USA,Large
10169,30,2,5019.9,11/4/2003 0:00,Shipped,Australia,Medium
10181,27,14,5411.07,11/12/2003 0:00,Shipped,Norway,Medium
10191,21,3,3840.9,11/20/2003 0:00,Shipped,Germany,Medium
10203,20,8,3930.4,12/2/2003 0:00,Shipped,Spain,Medium
10211,41,2,7498.9,1/15/2004 0:00,Shipped,France,Large
10225,27,9,4517.91,2/22/2004 0:00,Shipped,Switzerland,Medium
10238,28,3,5774.72,4/9/2004 0:00,Shipped,Denmark,Medium
10253,24,13,3922.56,6/1/2004 0:00,Cancelled,UK,Medium
10266,44,14,9160.36,7/6/2004 0:00,Shipped,Italy,Large
10276,50,3,9631,8/2/2004 0:00,Shipped,USA,Large
10287,21,12,3432.24,8/30/2004 0:00,Shipped,Switzerland,Medium
10300,33,5,5521.89,10/4/2003 0:00,Shipped,Germany,Medium
10310,33,10,6934.62,10/16/2004 0:00,Shipped,Germany,Medium
10320,31,3,6876.11,11/3/2004 0:00,Shipped,Sweden,Medium
10329,41,5,2930.27,11/15/2004 0:00,Shipped,USA,Small
10341,45,2,3584.25,11/24/2004 0:00,Shipped,Austria,Medium
10363,33,3,2817.87,1/6/2005 0:00,Shipped,Finland,Small
10375,45,7,3420,2/3/2005 0:00,Shipped,France,Medium
10389,26,4,2575.04,3/3/2005 0:00,Shipped,Sweden,Small
10419,12,13,1961.28,5/17/2005 0:00,Shipped,Austria,Small
10105,41,15,8690.36,2/11/2003 0:00,Shipped,Denmark,Large
10117,33,9,6034.38,4/16/2003 0:00,Shipped,Singapore,Medium
10127,46,2,11279.2,6/3/2003 0:00,Shipped,USA,Large
10142,33,12,8023.29,8/8/2003 0:00,Shipped,USA,Large
10153,20,11,4904,9/28/2003 0:00,Shipped,Spain,Medium
10165,44,3,8594.52,10/22/2003 0:00,Shipped,Singapore,Large
10176,33,2,7474.5,11/6/2003 0:00,Shipped,Italy,Large
10185,21,13,3883.74,11/14/2003 0:00,Shipped,USA,Medium
10196,47,5,8887.7,11/26/2003 0:00,Shipped,USA,Large
10208,46,13,8602.92,1/2/2004 0:00,Shipped,France,Large
10220,32,2,7181.44,2/12/2004 0:00,Shipped,Ireland,Large
10231,42,2,8378.58,3/19/2004 0:00,Shipped,Spain,Large
10247,44,2,10606.2,5/5/2004 0:00,Shipped,Finland,Large
10272,35,2,5818.4,7/20/2004 0:00,Shipped,USA,Medium
10282,41,5,7071.27,8/20/2004 0:00,Shipped,USA,Large
10293,46,8,8411.56,9/9/2004 0:00,Shipped,Italy,Large
10306,31,13,6570.76,10/14/2004 0:00,Shipped,UK,Medium
10314,38,5,7975.44,10/22/2004 0:00,Shipped,Denmark,Large
10325,42,8,2688,11/5/2004 0:00,Shipped,Norway,Small
10336,33,10,1888.26,11/20/2004 0:00,Shipped,France,Small
10348,48,8,2513.28,11/1/2004 0:00,Shipped,Spain,Small
10359,42,8,4764.48,12/15/2004 0:00,Shipped,France,Medium
10371,32,6,3560.64,1/23/2005 0:00,Shipped,USA,Medium
10382,34,10,3823.64,2/17/2005 0:00,Shipped,USA,Medium
10395,33,1,2280.96,3/17/2005 0:00,Shipped,France,Small
10413,36,2,8677.8,5/5/2005 0:00,Shipped,USA,Large
10103,27,8,3394.98,1/29/2003 0:00,Shipped,Norway,Medium
10113,21,2,3415.44,3/26/2003 0:00,Shipped,USA,Medium
10126,21,8,2439.57,5/28/2003 0:00,Shipped,Spain,Small
10140,38,8,4829.8,7/24/2003 0:00,Shipped,USA,Medium
10150,30,5,4100.1,9/19/2003 0:00,Shipped,Singapore,Medium
10164,49,6,6563.06,10/21/2003 0:00,Resolved,Austria,Medium
10174,43,1,6817.22,11/6/2003 0:00,Shipped,Australia,Medium
10183,41,5,6163.94,11/13/2003 0:00,Shipped,USA,Medium
10194,38,8,4933.92,11/25/2003 0:00,Shipped,France,Medium
10206,28,3,4056.36,12/5/2003 0:00,Shipped,Canada,Medium
10216,43,1,5759.42,2/2/2004 0:00,Shipped,France,Medium
10229,25,13,3451,3/11/2004 0:00,Shipped,USA,Medium
10245,38,6,5920.4,5/4/2004 0:00,Shipped,USA,Medium
10258,41,3,6668.24,6/15/2004 0:00,Shipped,Japan,Medium
10270,28,6,4094.72,7/19/2004 0:00,Shipped,Australia,Medium
10281,25,13,2938.5,8/19/2004 0:00,Shipped,USA,Small
10291,41,8,6387.8,9/8/2004 0:00,Shipped,Sweden,Medium
10304,39,3,6396,10/11/2004 0:00,Shipped,France,Medium
10313,21,11,2669.1,10/22/2004 0:00,Shipped,Canada,Small
10322,27,9,4784.13,11/4/2004 0:00,Shipped,USA,Medium
10333,33,6,3273.93,11/18/2004 0:00,Shipped,USA,Medium
10347,29,3,3586.43,11/29/2004 0:00,Shipped,Australia,Medium
10357,49,8,5960.36,12/10/2004 0:00,Shipped,USA,Medium
10370,49,8,8470.14,1/20/2005 0:00,Shipped,Australia,Large
10381,20,1,2952,2/17/2005 0:00,Shipped,USA,Small
10391,39,9,2464.8,3/9/2005 0:00,Shipped,Australia,Small
10411,40,6,6232,5/1/2005 0:00,Shipped,Canada,Medium
10424,49,3,7969.36,5/31/2005 0:00,In Process,Spain,Large
10107,21,1,3036.6,2/24/2003 0:00,Shipped,USA,Medium
10121,50,4,8284,5/7/2003 0:00,Shipped,France,Large
10134,20,1,2711.2,7/1/2003 0:00,Shipped,France,Small
10145,49,5,8339.8,8/25/2003 0:00,Shipped,USA,Large
10159,38,13,6238.84,10/10/2003 0:00,Shipped,USA,Medium
10169,35,13,4639.25,11/4/2003 0:00,Shipped,Australia,Medium
10180,40,8,6747.6,11/11/2003 0:00,Shipped,France,Medium
10189,28,1,4512.48,11/18/2003 0:00,Shipped,USA,Medium
10201,25,1,4029,12/1/2003 0:00,Shipped,USA,Medium
10211,36,13,4771.8,1/15/2004 0:00,Shipped,France,Medium
10224,43,6,6087.94,2/21/2004 0:00,Shipped,France,Medium
10237,32,6,4193.28,4/5/2004 0:00,Shipped,USA,Medium
10251,46,1,7552.28,5/18/2004 0:00,Shipped,USA,Large
10263,48,1,6434.4,6/28/2004 0:00,Shipped,USA,Medium
10276,43,14,5181.5,8/2/2004 0:00,Shipped,USA,Medium
10285,49,5,6863.92,8/27/2004 0:00,Shipped,USA,Medium
10299,24,8,4157.04,9/30/2004 0:00,Shipped,Finland,Medium
10309,26,4,4660.24,10/15/2004 0:00,Shipped,Norway,Medium
10319,30,9,4111.8,11/3/2004 0:00,Shipped,USA,Medium
10329,24,6,3542.64,11/15/2004 0:00,Shipped,USA,Medium
10341,55,8,8118.55,11/24/2004 0:00,Shipped,Austria,Large
10362,22,1,3877.06,1/5/2005 0:00,Shipped,USA,Medium
10375,49,13,3867.08,2/3/2005 0:00,Shipped,France,Medium
10388,44,6,5951.44,3/3/2005 0:00,Shipped,USA,Medium
10403,66,6,8648.64,4/8/2005 0:00,Shipped,UK,Large
10417,21,1,3447.78,5/13/2005 0:00,Disputed,Spain,Medium
10104,34,1,5958.5,1/31/2003 0:00,Shipped,Spain,Medium
10117,43,10,5911.64,4/16/2003 0:00,Shipped,Singapore,Medium
10127,46,3,7366.44,6/3/2003 0:00,Shipped,USA,Large
10142,33,13,4985.64,8/8/2003 0:00,Shipped,USA,Medium
10153,42,12,5393.64,9/28/2003 0:00,Shipped,Spain,Medium
10165,34,4,4880.02,10/22/2003 0:00,Shipped,Singapore,Medium
10176,47,3,8378.69,11/6/2003 0:00,Shipped,Italy,Large
10185,33,14,4038.21,11/14/2003 0:00,Shipped,USA,Medium
10196,24,6,3807.12,11/26/2003 0:00,Shipped,USA,Medium
10208,26,14,3142.36,1/2/2004 0:00,Shipped,France,Medium
10220,30,3,4713.6,2/12/2004 0:00,Shipped,Ireland,Medium
10230,43,1,7016.31,3/15/2004 0:00,Shipped,Germany,Large
10247,25,3,4381.25,5/5/2004 0:00,Shipped,Finland,Medium
10272,27,3,4283.01,7/20/2004 0:00,Shipped,USA,Medium
10282,27,6,4364.82,8/20/2004 0:00,Shipped,USA,Medium
10293,24,9,4242.24,9/9/2004 0:00,Shipped,Italy,Medium
10306,34,14,4982.7,10/14/2004 0:00,Shipped,UK,Medium
10314,46,6,6393.54,10/22/2004 0:00,Shipped,Denmark,Medium
10324,27,1,1466.91,11/5/2004 0:00,Shipped,USA,Small
10336,33,11,4059.33,11/20/2004 0:00,Shipped,France,Medium
10348,47,4,4801.52,11/1/2004 0:00,Shipped,Spain,Medium
10358,49,5,2711.66,12/10/2004 0:00,Shipped,Spain,Small
10372,40,4,5862,1/26/2005 0:00,Shipped,Japan,Medium
10382,37,11,4071.85,2/17/2005 0:00,Shipped,USA,Medium
10413,47,3,8236.75,5/5/2005 0:00,Shipped,USA,Large
10108,45,4,6130.35,3/3/2003 0:00,Shipped,Philippines,Medium
10122,37,8,3693.34,5/8/2003 0:00,Shipped,France,Medium
10135,48,5,6031.68,7/2/2003 0:00,Shipped,USA,Medium
10147,31,5,3494.94,9/5/2003 0:00,Shipped,USA,Medium
10160,46,6,5294.14,10/11/2003 0:00,Shipped,USA,Medium
10170,47,4,5464.69,11/4/2003 0:00,Shipped,Austria,Medium
10181,28,12,2860.76,11/12/2003 0:00,Shipped,Norway,Small
10191,40,1,5590,11/20/2003 0:00,Shipped,Germany,Medium
10203,20,6,2254.8,12/2/2003 0:00,Shipped,Spain,Small
10212,39,16,4946.76,1/16/2004 0:00,Shipped,Spain,Medium
10225,25,7,2495.5,2/22/2004 0:00,Shipped,Switzerland,Small
10238,29,1,3167.38,4/9/2004 0:00,Shipped,Denmark,Medium
10253,22,11,2402.84,6/1/2004 0:00,Cancelled,UK,Small
10266,22,12,2454.54,7/6/2004 0:00,Shipped,Italy,Small
10276,47,1,5464.69,8/2/2004 0:00,Shipped,USA,Medium
10287,45,10,4756.5,8/30/2004 0:00,Shipped,Switzerland,Medium
10300,29,3,3984.6,10/4/2003 0:00,Shipped,Germany,Medium
10310,24,8,3100.32,10/16/2004 0:00,Shipped,Germany,Medium
10320,35,1,4850.3,11/3/2004 0:00,Shipped,Sweden,Medium
10329,46,13,3846.98,11/15/2004 0:00,Shipped,USA,Medium
10341,44,1,4220.92,11/24/2004 0:00,Shipped,Austria,Medium
10363,34,4,3288.82,1/6/2005 0:00,Shipped,Finland,Medium
10376,35,1,3987.2,2/8/2005 0:00,Shipped,USA,Medium
10389,25,6,1809.5,3/3/2005 0:00,Shipped,Sweden,Small
10419,10,11,1092.2,5/17/2005 0:00,Shipped,Austria,Small
10105,29,14,4566.05,2/11/2003 0:00,Shipped,Denmark,Medium
10117,39,8,5938.14,4/16/2003 0:00,Shipped,Singapore,Medium
10127,42,1,8138.76,6/3/2003 0:00,Shipped,USA,Large
10142,46,11,9470.94,8/8/2003 0:00,Shipped,USA,Large
10153,49,10,7036.89,9/28/2003 0:00,Shipped,Spain,Large
10165,27,2,5559.03,10/22/2003 0:00,Shipped,Singapore,Medium
10176,50,1,7872.5,11/6/2003 0:00,Shipped,Italy,Large
10185,43,12,7886.2,11/14/2003 0:00,Shipped,USA,Large
10196,38,4,7232.16,11/26/2003 0:00,Shipped,USA,Large
10208,20,12,3114.4,1/2/2004 0:00,Shipped,France,Medium
10220,27,1,5045.22,2/12/2004 0:00,Shipped,Ireland,Medium
10231,49,1,6952.12,3/19/2004 0:00,Shipped,Spain,Medium
10247,27,1,4157.73,5/5/2004 0:00,Shipped,Finland,Medium
10272,39,1,7962.24,7/20/2004 0:00,Shipped,USA,Large
10282,24,4,3778.8,8/20/2004 0:00,Shipped,USA,Medium
10293,45,7,8253,9/9/2004 0:00,Shipped,Italy,Large
10306,20,12,3633.4,10/14/2004 0:00,Shipped,UK,Medium
10314,36,4,6913.8,10/22/2004 0:00,Shipped,Denmark,Medium
10325,24,1,2583.6,11/5/2004 0:00,Shipped,Norway,Small
10336,49,1,3105.62,11/20/2004 0:00,Shipped,France,Medium
10349,26,10,4408.56,12/1/2004 0:00,Shipped,USA,Medium
10359,49,5,3042.41,12/15/2004 0:00,Shipped,France,Medium
10372,34,1,5941.5,1/26/2005 0:00,Shipped,Japan,Medium
10382,34,12,3241.9,2/17/2005 0:00,Shipped,USA,Medium
10396,33,3,6109.29,3/23/2005 0:00,Shipped,USA,Medium
10413,22,1,3387.78,5/5/2005 0:00,Shipped,USA,Medium
10108,39,7,3485.82,3/3/2003 0:00,Shipped,Philippines,Medium
10122,32,11,2042.88,5/8/2003 0:00,Shipped,France,Small
10135,24,8,1800.24,7/2/2003 0:00,Shipped,USA,Small
10147,21,8,1340.64,9/5/2003 0:00,Shipped,USA,Small
10159,24,3,1762.08,10/10/2003 0:00,Shipped,USA,Small
10169,36,3,2298.24,11/4/2003 0:00,Shipped,Australia,Small
10181,20,15,1628,11/12/2003 0:00,Shipped,Norway,Small
10191,30,4,1939.2,11/20/2003 0:00,Shipped,Germany,Small
10203,44,9,3651.56,12/2/2003 0:00,Shipped,Spain,Medium
10211,28,3,2591.96,1/15/2004 0:00,Shipped,France,Small
10225,37,10,2864.17,2/22/2004 0:00,Shipped,Switzerland,Small
10238,20,4,1484.2,4/9/2004 0:00,Shipped,Denmark,Small
10253,25,14,2254.25,6/1/2004 0:00,Cancelled,UK,Small
10266,35,15,2681.35,7/6/2004 0:00,Shipped,Italy,Small
10276,38,4,3184.02,8/2/2004 0:00,Shipped,USA,Medium
10287,41,13,2846.63,8/30/2004 0:00,Shipped,Switzerland,Small
10300,22,6,1685.42,10/4/2003 0:00,Shipped,Germany,Small
10310,49,11,3988.6,10/16/2004 0:00,Shipped,Germany,Medium
10320,38,4,2789.96,11/3/2004 0:00,Shipped,Sweden,Small
10329,33,14,3607.56,11/15/2004 0:00,Shipped,USA,Medium
10341,36,10,3368.16,11/24/2004 0:00,Shipped,Austria,Medium
10363,34,5,2775.08,1/6/2005 0:00,Shipped,Finland,Small
10377,24,5,1627.92,2/9/2005 0:00,Shipped,Finland,Small
10389,36,7,2529.36,3/3/2005 0:00,Shipped,Sweden,Small
10419,34,14,3065.78,5/17/2005 0:00,Shipped,Austria,Medium
10104,41,9,4615.78,1/31/2003 0:00,Shipped,Spain,Medium
10115,46,5,5723.78,4/4/2003 0:00,Shipped,USA,Medium
10127,24,11,2559.6,6/3/2003 0:00,Shipped,USA,Small
10141,21,5,2140.11,8/1/2003 0:00,Shipped,Finland,Small
10151,24,3,3327.6,9/21/2003 0:00,Shipped,Finland,Medium
10165,48,12,6825.6,10/22/2003 0:00,Shipped,Singapore,Medium
10175,26,1,3543.28,11/6/2003 0:00,Shipped,UK,Medium
10184,37,6,4516.22,11/14/2003 0:00,Shipped,Spain,Medium
10195,49,6,6445.46,11/25/2003 0:00,Shipped,USA,Medium
10207,34,7,3384.36,12/9/2003 0:00,Shipped,USA,Medium
10219,48,2,4891.68,2/10/2004 0:00,Shipped,USA,Medium
10229,36,1,4521.96,3/11/2004 0:00,Shipped,USA,Medium
10246,46,5,5069.66,5/5/2004 0:00,Shipped,Spain,Medium
10259,46,4,6541.2,6/15/2004 0:00,Shipped,Singapore,Medium
10271,31,5,3012.27,7/20/2004 0:00,Shipped,USA,Medium
10281,41,1,5247.18,8/19/2004 0:00,Shipped,USA,Medium
10292,21,8,2214.87,9/8/2004 0:00,Shipped,USA,Small
10305,38,5,4773.18,10/13/2004 0:00,Shipped,USA,Medium
10314,45,14,6185.7,10/22/2004 0:00,Shipped,Denmark,Medium
10324,26,7,1517.88,11/5/2004 0:00,Shipped,USA,Small
10336,38,3,6372.6,11/20/2004 0:00,Shipped,France,Medium
10349,48,9,5232.96,12/1/2004 0:00,Shipped,USA,Medium
10358,42,9,2694.72,12/10/2004 0:00,Shipped,Spain,Small
10371,49,4,1749.79,1/23/2005 0:00,Shipped,USA,Small
10382,32,13,2130.56,2/17/2005 0:00,Shipped,USA,Small
10412,54,5,5951.34,5/3/2005 0:00,Shipped,Spain,Medium
10425,33,4,4692.6,5/31/2005 0:00,In Process,France,Medium
10108,36,3,3731.04,3/3/2003 0:00,Shipped,Philippines,Medium
10122,20,7,2142,5/8/2003 0:00,Shipped,France,Small
